"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Poland","2017","Total","Female","Katowice","City proper","Estimate - de jure","Final figure, complete","2018","157175","1,2"
"Poland","2017","Total","Female","Kielce","City proper","Estimate - de jure","Final figure, complete","2018","103599","1,2"
"Poland","2017","Total","Female","Koszalin","City proper","Estimate - de jure","Final figure, complete","2018","56125","1,2"
"Poland","2017","Total","Female","Kraków","City proper","Estimate - de jure","Final figure, complete","2018","404437","1,2"
"Poland","2017","Total","Female","Legnica","City proper","Estimate - de jure","Final figure, complete","2018","52182","1,2"
"Poland","2017","Total","Female","Lódz","City proper","Estimate - de jure","Final figure, complete","2018","376703","1,2"
"Poland","2017","Total","Female","Lublin","City proper","Estimate - de jure","Final figure, complete","2018","184269","1,2"
"Poland","2017","Total","Female","Olsztyn","City proper","Estimate - de jure","Final figure, complete","2018","92688","1,2"
"Poland","2017","Total","Female","Opole","City proper","Estimate - de jure","Final figure, complete","2018","67025","1,2"
"Poland","2017","Total","Female","Plock","City proper","Estimate - de jure","Final figure, complete","2018","63259","1,2"
"Poland","2017","Total","Female","Poznan","City proper","Estimate - de jure","Final figure, complete","2018","286924","1,2"
"Poland","2017","Total","Female","Radom","City proper","Estimate - de jure","Final figure, complete","2018","111785","1,2"
"Poland","2017","Total","Female","Ruda Slaska","City proper","Estimate - de jure","Final figure, complete","2018","71025","1,2"
"Poland","2017","Total","Female","Rybnik","City proper","Estimate - de jure","Final figure, complete","2018","70387","1,2"
"Poland","2017","Total","Female","Rzeszów","City proper","Estimate - de jure","Final figure, complete","2018","98121","1,2"
"Poland","2017","Total","Female","Slupsk","City proper","Estimate - de jure","Final figure, complete","2018","48167","1,2"
"Poland","2017","Total","Female","Sosnowiec","City proper","Estimate - de jure","Final figure, complete","2018","106966","1,2"
"Poland","2017","Total","Female","Szczecin","City proper","Estimate - de jure","Final figure, complete","2018","210697","1,2"
"Poland","2017","Total","Female","Tarnów","City proper","Estimate - de jure","Final figure, complete","2018","56427","1,2"
"Poland","2017","Total","Female","Torun","City proper","Estimate - de jure","Final figure, complete","2018","106785","1,2"
"Poland","2017","Total","Female","Tychy","City proper","Estimate - de jure","Final figure, complete","2018","65608","1,2"
"Poland","2017","Total","Female","Walbrzych","City proper","Estimate - de jure","Final figure, complete","2018","59588","1,2"
"Poland","2017","Total","Female","WARSZAWA","City proper","Estimate - de jure","Final figure, complete","2018","947781","1,2"
"Poland","2017","Total","Female","Wloclawek","City proper","Estimate - de jure","Final figure, complete","2018","58564","1,2"
"Poland","2017","Total","Female","Wroclaw","City proper","Estimate - de jure","Final figure, complete","2018","337622","1,2"
"Poland","2017","Total","Female","Zabrze","City proper","Estimate - de jure","Final figure, complete","2018","89498","1,2"
"Poland","2017","Total","Female","Zielona Góra","City proper","Estimate - de jure","Final figure, complete","2018","73169","1,2"

